Epoch,Temperature,Overall_Accuracy,Imperfect_Samples
20,0.75,0.99951171875,"[(8, 0.9970703125), (10, 0.998046875)]"
20,1.0,0.9994140625,"[(3, 0.998046875), (9, 0.99609375)]"
22,0.0,1.0,[]
22,0.25,1.0,[]
22,0.5,1.0,[]
22,0.75,0.9998046875,"[(5, 0.9990234375), (11, 0.9990234375)]"
22,1.0,0.99970703125,"[(2, 0.998046875), (5, 0.9990234375)]"
24,0.0,1.0,[]
24,0.25,1.0,[]
24,0.5,1.0,[]
24,0.75,0.99990234375,"[(3, 0.9990234375)]"
24,1.0,0.99970703125,"[(10, 0.9990234375), (11, 0.998046875)]"
26,0.0,1.0,[]
26,0.25,1.0,[]
26,0.5,0.99970703125,"[(4, 0.998046875), (5, 0.9990234375)]"
26,0.75,0.99951171875,"[(4, 0.99609375), (5, 0.9990234375)]"
26,1.0,0.999609375,"[(4, 0.9990234375), (5, 0.998046875), (9, 0.9990234375)]"
28,0.0,1.0,[]
28,0.25,1.0,[]
28,0.5,1.0,[]
28,0.75,1.0,[]
28,1.0,1.0,[]
30,0.0,1.0,[]
30,0.25,0.99990234375,"[(3, 0.9990234375)]"
30,0.5,0.99990234375,"[(3, 0.9990234375)]"
30,0.75,1.0,[]
30,1.0,0.99921875,"[(3, 0.99609375), (5, 0.998046875), (10, 0.998046875)]"
32,0.0,1.0,[]
32,0.25,1.0,[]
32,0.5,1.0,[]
32,0.75,1.0,[]
32,1.0,1.0,[]
34,0.0,1.0,[]
34,0.25,1.0,[]
34,0.5,0.99990234375,"[(5, 0.9990234375)]"
34,0.75,0.99990234375,"[(5, 0.9990234375)]"
34,1.0,0.99970703125,"[(5, 0.998046875), (9, 0.9990234375)]"
36,0.0,1.0,[]
36,0.25,0.99990234375,"[(5, 0.9990234375)]"
36,0.5,1.0,[]
36,0.75,0.99990234375,"[(5, 0.9990234375)]"
36,1.0,1.0,[]
38,0.0,1.0,[]
38,0.25,1.0,[]
38,0.5,1.0,[]
38,0.75,1.0,[]
38,1.0,1.0,[]
40,0.0,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.25,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.5,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,0.75,0.9998046875,"[(4, 0.9990234375), (10, 0.9990234375)]"
40,1.0,0.999609375,"[(4, 0.9990234375), (10, 0.9990234375), (11, 0.998046875)]"
42,0.0,1.0,[]
42,0.25,1.0,[]
42,0.5,1.0,[]
42,0.75,1.0,[]
42,1.0,1.0,[]
44,0.0,1.0,[]
44,0.25,1.0,[]
44,0.5,1.0,[]
44,0.75,1.0,[]
44,1.0,1.0,[]
46,0.0,1.0,[]
46,0.25,1.0,[]
46,0.5,1.0,[]
46,0.75,1.0,[]
46,1.0,0.99990234375,"[(10, 0.9990234375)]"
48,0.0,1.0,[]
48,0.25,1.0,[]
48,0.5,1.0,[]
48,0.75,1.0,[]
48,1.0,0.99990234375,"[(10, 0.9990234375)]"
